Sebastian Vettel,397,15,25,12,25,12,18,25,0,25,15,25,25,25,25,25,25,25,25,25
Fernando Alonso,242,18,0,25,4,25,6,18,15,12,10,18,18,18,8,12,0,10,10,15
Mark Webber,199,8,18,0,6,10,15,12,18,6,12,10,15,0,0,18,0,18,15,18
Lewis Hamilton,189,10,15,15,10,0,12,15,12,10,25,15,2,10,10,0,8,6,12,2
Kimi Raikkonen,183,25,6,18,18,18,1,2,10,18,18,0,0,15,18,10,6,0,,
Nico Rosberg,171,0,12,0,2,8,25,10,25,2,0,12,8,12,6,4,18,15,2,10
Romain Grosjean,132,1,8,2,15,0,0,0,0,15,8,4,4,0,15,15,15,12,18,0
Felipe Massa,112,12,10,8,0,15,0,4,8,0,4,6,12,8,2,1,12,4,0,6
Jenson Button,73,2,0,10,1,4,8,0,0,8,6,8,1,6,4,2,0,0,1,12
Nico Hulkenberg,51,0,4,1,0,0,0,0,1,1,0,0,10,2,12,8,0,0,8,4
Sergio Perez,49,0,2,0,8,2,0,0,0,4,2,0,0,4,1,0,10,2,6,8
Paul di Resta,48,4,0,4,12,6,2,6,2,0,0,0,0,0,0,0,4,8,0,0
Adrian Sutil,29,6,0,0,0,0,10,1,6,0,0,2,0,1,0,0,2,1,0,0
Daniel Ricciardo,20,0,0,6,0,1,0,0,4,0,0,1,6,0,0,0,1,0,0,1
Jean-Eric Vergne,13,0,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Gutierrez,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Valtteri Bottas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Pastor Maldonado,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jules Bianchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Pic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heikki Kovalainen,0,,,,,,,,,,,,,,,,,,0,0
Giedo van der Garde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Chilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
